severity,origin,package,installed_version,vulnerability_id,scanner_fixed_version,scanner_status,package_path,outcome
HIGH,Corepack pnpm 9.15.0,minimatch,9.0.5,CVE-2026-26996,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/minimatch/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,minimatch,9.0.5,CVE-2026-27903,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/minimatch/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,minimatch,9.0.5,CVE-2026-27904,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/minimatch/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,pacote,19.0.2,CVE-2026-9496,21.5.1,fixed,usr/local/lib/node_modules/npm/node_modules/pacote/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,pacote,20.0.1,CVE-2026-9496,21.5.1,fixed,usr/local/lib/node_modules/npm/node_modules/@npmcli/metavuln-calculator/node_modules/pacote/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,picomatch,4.0.3,CVE-2026-33671,"4.0.4, 3.0.2, 2.3.2",fixed,usr/local/lib/node_modules/npm/node_modules/picomatch/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2025-69262,10.27.0,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2025-69263,10.26.0,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-50015,"10.34.0, 11.4.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-50016,"10.34.0, 11.4.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-55487,"10.34.2, 11.5.3",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-55697,"10.34.2, 11.5.3",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-55698,"10.34.2, 11.5.3",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-82392,"10.34.5, 11.11.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,CVE-2026-82393,"10.34.5, 11.11.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,GHSA-72r4-9c5j-mj57,"10.34.4, 11.7.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,GHSA-fr4h-3cph-29xv,"10.34.4, 11.7.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,pnpm,9.15.0,GHSA-qrv3-253h-g69c,"10.34.4, 11.8.0",fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,sigstore,3.1.0,CVE-2026-48815,4.1.1,fixed,usr/local/lib/node_modules/npm/node_modules/sigstore/package.json,fixed in final installed builder
CRITICAL,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-59873,7.5.19,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-23745,7.5.3,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-23950,7.5.4,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-24842,7.5.7,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-26960,7.5.8,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-29786,7.5.10,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-31802,7.5.11,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-59874,7.5.18,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,fixed in final installed builder
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-73566,7.5.21,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json,remaining in pnpm 10.34.5 bundle
CRITICAL,bundled npm 10.9.8,tar,7.5.11,CVE-2026-59873,7.5.19,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,tar,7.5.11,CVE-2026-59874,7.5.18,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json,fixed in final installed builder
HIGH,bundled npm 10.9.8,tar,7.5.11,CVE-2026-73566,7.5.21,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json,fixed in final installed builder
CRITICAL,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-68121,"1.24.13, 1.25.7, 1.26.0-rc.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61726,"1.24.12, 1.25.6",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61729,"1.24.11, 1.25.5",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-25679,"1.25.8, 1.26.1",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-27145,"1.25.11, 1.26.4",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32280,"1.25.9, 1.26.2",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32281,"1.25.9, 1.26.2",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32283,"1.25.9, 1.26.2",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-33811,"1.25.10, 1.26.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-33814,"1.25.10, 1.26.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-33818,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39820,"1.25.10, 1.26.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39821,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39822,"1.25.12, 1.26.5, 1.27.0-rc.2",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39836,"1.25.10, 1.26.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-42499,"1.25.10, 1.26.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-42504,"1.25.11, 1.26.4",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56853,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56858,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56859,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56860,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,,fixed in final installed builder
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56862,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,,fixed in final installed builder
