severity,origin,package,installed_version,vulnerability_id,scanner_fixed_version,scanner_status,package_path
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-26960,7.5.8,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-29786,7.5.10,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-31802,7.5.11,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-59874,7.5.18,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
HIGH,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-73566,7.5.21,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
MEDIUM,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-53655,7.5.16,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
MEDIUM,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-59871,7.5.18,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
MEDIUM,Corepack pnpm 9.15.0,tar,6.2.1,CVE-2026-59875,7.5.17,fixed,root/.cache/node/corepack/v1/pnpm/9.15.0/dist/node_modules/tar/package.json
CRITICAL,bundled npm 10.9.8,tar,7.5.11,CVE-2026-59873,7.5.19,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json
HIGH,bundled npm 10.9.8,tar,7.5.11,CVE-2026-59874,7.5.18,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json
HIGH,bundled npm 10.9.8,tar,7.5.11,CVE-2026-73566,7.5.21,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json
MEDIUM,bundled npm 10.9.8,tar,7.5.11,CVE-2026-53655,7.5.16,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json
MEDIUM,bundled npm 10.9.8,tar,7.5.11,CVE-2026-59871,7.5.18,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json
MEDIUM,bundled npm 10.9.8,tar,7.5.11,CVE-2026-59875,7.5.17,fixed,usr/local/lib/node_modules/npm/node_modules/tar/package.json
UNKNOWN,esbuild 0.25.9 Go binary,golang.org/x/sys,v0.0.0-20220715151400-c0bba94af5f8,CVE-2026-39824,0.44.0,fixed,
CRITICAL,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-68121,"1.24.13, 1.25.7, 1.26.0-rc.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61726,"1.24.12, 1.25.6",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-61729,"1.24.11, 1.25.5",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-25679,"1.25.8, 1.26.1",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-27145,"1.25.11, 1.26.4",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32280,"1.25.9, 1.26.2",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32281,"1.25.9, 1.26.2",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-32283,"1.25.9, 1.26.2",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-33811,"1.25.10, 1.26.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-33814,"1.25.10, 1.26.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-33818,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39820,"1.25.10, 1.26.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39821,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39822,"1.25.12, 1.26.5, 1.27.0-rc.2",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-39836,"1.25.10, 1.26.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-42499,"1.25.10, 1.26.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-42504,"1.25.11, 1.26.4",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56853,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56858,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56859,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56860,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,
HIGH,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2026-56862,"1.25.13, 1.26.6, 1.27.0-rc.3",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-47912,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-58183,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-58185,"1.24.8, 1.25.2",fixed,
MEDIUM,esbuild 0.25.9 Go binary,stdlib,v1.23.12,CVE-2025-58187,"1.24.9, 1.25.3",fixed,
