OTOPARK_ADI,ILCE,MAHALLE,ADRES_VEYA_TARIF,ACILIS_SAATI,KAPANIS_SAATI,KAPASITE,ENLEM,BOYLAM
"TRT (1394 SK.)","KONAK","MİMAR SİNAN","(1394 SOKAĞIN; 1401 SK. İLE 1399 SOKAK ARASINDA KALAN KISMINDA)","07:00","21:00","40","38.4319431584755","27.1478706805499"
"GÜNDOĞDU -1","KONAK","KÜLTÜR","(CUMHURİYET BULVARININ TALATPAŞA BLV. KESİŞİMİ İLE PLEVNE ARASINDAKİ KISMINDA)","07:00","22:00","133","38.4342954602403","27.1395976061713"
"ZİYA GÖKALP BULVARI -  1","KONAK","MİMAR SİNAN","ZİYA GÖKALP BULVARININ; ALİ ÇETİNKAYA BULVARI İLE DR. MUSTAFA ENVER BEY KESİŞİMİ ARASINDA KALAN KISMINDAKİ OTOPARK CEPLERİ","07:00","21:00","60","38.4323084257292","27.146475510476"
"ALSANCAK DEVLET HASTANESİ","KONAK","KÜLTÜR","ALİ ÇETİNKAYA BULVARI NIN; TALAT PAŞA BULVARI İLE 1438 SK. KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","12","38.4344620817255","27.1430325630349"
"1434 SK.","KONAK","MİMAR SİNAN","1434 SOKAĞIN; 1420 SOKAK İLE ZİYA GÖKALP BULVARI KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","24","38.4352770969974","27.14814584355"
"AKDENİZ CD.","KONAK","AKDENİZ","AKDENİZ CADDESİNİN; HALİT ZİYA BULVARI İLE CUMHURİYET BULVARI KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","27","38.4270320860397","27.1344631355786"
"EFES -1 (GAZİOSMAN PAŞA BULVARI)","KONAK","AKDENİZ","GAZİ OSMAN PAŞA BULVARI ÜZERİNDE; GAZİ OSMAN PAŞA BULVARININ;  HALİT ZİYA BULVARI İLE CUMHURİYET BULVARI ARASINDA KALAN KISMINDA","07:00","21:00","26","38.4275436365124","27.1351808859463"
"EFES -2 (GAZİOSMAN PAŞA BULVARI)","KONAK","AKDENİZ","GAZİ OSMAN PAŞA BULVARI ÜZERİNDE; GAZİ OSMAN PAŞA BULV.NIN AKDENİZ CAD.  İLE NECATİ BEY BULVARI KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","23","38.426455833308","27.1359666577469"
"HİLTON -1 (GAZİOSMAN PAŞA BULVARI)","KONAK","AKDENİZ","GAZİ OSMAN PAŞA BULVARI ÜZERİNDE; GAZİ OSMAN PAŞA BULV.NIN  NECATİ BEY BULV. İLE KAZIM DİRİK CAD.  KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","26","38.4255398587478","27.1365648724914"
"HİLTON -2 (GAZİOSMAN PAŞA BULVARI)","KONAK","AKDENİZ","GAZİ OSMAN PAŞA BULVARI ÜZERİNDE; GAZİ OSMAN PAŞA BULV.NIN  SEZER DOĞAN SK. İLE ŞAİR EŞREF BULV.  KESİŞİMİ ARASINDA KALAN KISMINDA","07:00","21:00","16","38.4247192724417","27.1371208333026"
"EŞREFPAŞA HASTANESİ","KONAK","YENİŞEHİR","YENİŞEHİR MH. 1145 SOKAK ÜZERİNDE (EŞREFPAŞA HAST.CİVARI )","06:30","16:00","40","38.4241428409815","27.1611559567379"
"VASIFÇINAR  BULVARI  - 1","KONAK","KÜLTÜR","VASIF ÇINAR BULVARININ;  LOZAN MEYDANI İLE 1379 SK. KESİŞİMİ ARASINDA","07:00","22:00","15","38.4301518706234","27.1406756069693"
"VASIFÇINAR  BULVARI  - 2","KONAK","KÜLTÜR","VASIF ÇINAR BULVARININ;  1379 SK. İLE CUMHURİYET BULVARI KESİŞİMİ ARASINDA","07:00","22:00","38","38.4307101535089","27.138793794159"
